preschool_name,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten
7oaks Preschool - Bedok Reservoir,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool - Bukit Batok,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool - Jurong St. 81,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool - Jurong St. 91,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool - Pasir Ris St. 11,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool - Pasir Ris St. 51,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
7oaks Preschool ? Sembawang,https://preschooler.sg/profile/1092/7oaks-Preschool---Sembawang,1090,714.0,714.0,714.0,1885.8,1274.7,1274.7,1274.7,"https___7oaks_sg_ps_programme_enquiries_, https___7oaks_sg__, https___7oaks_sg_40anniversary_celebrations, https___7oaks_sg_ps_careers_, https___7oaks_sg_ps_about_us, https___7oaks_sg_40anniversary_celebrations__, https___7oaks_sg_ps_childcare, https___7oaks_sg_ps_contact_us_, https___7oaks_sg_ps_privacy_notice_, https___7oaks_sg_, https___7oaks_sg_ps_infant_care, https___7oaks_sg_40anniversary_celebrations__contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'speech and drama']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
abc children?s place,,,,,,,,,,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),https://www.babyment.com/childcare/childcare-centre.php?childcare_id=136,,720.0,720.0,720.0,,720.0,720.0,720.0,"https___www_aceatwork_com_sg_about_us, https___www_aceatwork_com_sg_scc_programme, https___www_aceatwork_com_sg_register, https___www_aceatwork_com_sg_studentcare_register, https___www_aceatwork_com_sg_virtual_tour, https___www_aceatwork_com_sg__comp_lfcay45b, https___www_aceatwork_com_sg_careers_jobs, https___www_aceatwork_com_sg_locations, https___www_aceatwork_com_sg_student_care, https___www_aceatwork_com_sg__comp_jswpjy83, https___www_aceatwork_com_sg__comp_jswpjy7a, https___www_aceatwork_com_sg__comp_jswpjy7p, https___www_aceatwork_com_sg_, https___www_aceatwork_com_sg__comp_jswpjy6w, https___www_aceatwork_com_sg_who_we_are, https___www_aceatwork_com_sg_childcare_curriculum, https___www_aceatwork_com_sg_childcare_programme_fees, https___www_aceatwork_com_sg_childcare, https___www_aceatwork_com_sg_childcare_register, https___www_aceatwork_com_sg__comp_kgkicno1","['early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'montessori', 'moe', 'nurturing_early_learners_curriculum', 'thematic']",0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,"['aesthetics & creative expression', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'science', 'social & emotional development', 'sports']",1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,"['playgroup', 'nursery', 'kindergarten']",0,1,1,1
Ace @ Work Childcare Pte Ltd (Cashew Heights),https://www.babyment.com/childcare/childcare-centre.php?childcare_id=136,,720.0,720.0,720.0,,720.0,720.0,720.0,"https___www_aceatwork_com_sg_about_us, https___www_aceatwork_com_sg_scc_programme, https___www_aceatwork_com_sg_register, https___www_aceatwork_com_sg_studentcare_register, https___www_aceatwork_com_sg_virtual_tour, https___www_aceatwork_com_sg__comp_lfcay45b, https___www_aceatwork_com_sg_careers_jobs, https___www_aceatwork_com_sg_locations, https___www_aceatwork_com_sg_student_care, https___www_aceatwork_com_sg__comp_jswpjy83, https___www_aceatwork_com_sg__comp_jswpjy7a, https___www_aceatwork_com_sg__comp_jswpjy7p, https___www_aceatwork_com_sg_, https___www_aceatwork_com_sg__comp_jswpjy6w, https___www_aceatwork_com_sg_who_we_are, https___www_aceatwork_com_sg_childcare_curriculum, https___www_aceatwork_com_sg_childcare_programme_fees, https___www_aceatwork_com_sg_childcare, https___www_aceatwork_com_sg_childcare_register, https___www_aceatwork_com_sg__comp_kgkicno1","['early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'montessori', 'moe', 'nurturing_early_learners_curriculum', 'thematic']",0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,"['aesthetics & creative expression', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'science', 'social & emotional development', 'sports']",1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,"['playgroup', 'nursery', 'kindergarten']",0,1,1,1
